11/06/2023 Long Beach St.          73 Portland                78    
11/06/2023 Kansas Christian        66 Prairie View A&M        89    
11/06/2023 Columbia                59 Providence              78    
11/06/2023 Samford                 45 Purdue                  98    
11/06/2023 Coast Guard             48 Quinnipiac             116    
11/06/2023 Central Connecticut     70 Rhode Island            81    
11/06/2023 VMI                     75 Richmond                93    
11/06/2023 Immaculata              67 Rider                  113    
11/06/2023 Princeton               68 Rutgers                 61 N   Trenton, NJ
11/06/2023 Sarah Lawrence          51 Sacred Heart            95    
11/06/2023 Lafayette               60 Saint Joseph's          81    
11/06/2023 Southern Indiana        63 Saint Louis             75    
11/06/2023 Cal St.Stanislaus       28 Saint Mary's           107    
11/06/2023 Sonoma St.              64 San Diego               68    
11/06/2023 Cal St. Fullerton       57 San Diego St.           83    
11/06/2023 Bethesda                59 San Francisco          128    
11/06/2023 Saint Peter's           59 Seton Hall              70    
11/06/2023 Holy Cross              71 Siena                   73    
11/06/2023 SW Assemblies of God    63 SMU                     82    
11/06/2023 Mobile                  83 South Alabama           74    
11/06/2023 USC Upstate             53 South Carolina          82    
11/06/2023 Voorhees                57 South Carolina St.      65    
11/06/2023 Mount Marty             53 South Dakota            85    
11/06/2023 Akron                   81 South Dakota St.        75    
11/06/2023 Delta St.               71 Southeastern Louisiana  90    
11/06/2023 Kentucky St.            57 Southern Illinois       88    
11/06/2023 William Carey           42 Southern Miss           64    
11/06/2023 Longwood                69 St. Bonaventure         73    
11/06/2023 Cal St. Northridge      79 Stanford                88    
11/06/2023 North American          68 Stephen F. Austin       96    
11/06/2023 Trinity Baptist         54 Stetson                109    
11/06/2023 New Hampshire           72 Syracuse                83    
11/06/2023 Southern                75 TCU                    108    
11/06/2023 Maryland Eastern Shore  65 Temple                  85    
11/06/2023 Tennessee Tech          42 Tennessee               80    
11/06/2023 Champion Christian      76 Tennessee Martin       104    
11/06/2023 Fisk                    61 Tennessee St.           76    
11/06/2023 Incarnate Word          56 Texas                   88    
11/06/2023 Texas A&M Commerce      46 Texas A&M               78    
11/06/2023 Detroit Mercy           60 Toledo                  94    
11/06/2023 Fort Lauderdale         47 Troy                    92    
